 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [05/Jul/2019 20:42:13] "GET /clean HTTP/1.0" 200 -
127.0.0.1 - - [05/Jul/2019 20:42:35] "GET /clean HTTP/1.0" 200 -
127.0.0.1 - - [05/Jul/2019 20:42:35] "GET /favicon.ico HTTP/1.0" 404 -
app.py:194: DeprecationWarning: count is deprecated. Use estimated_document_count or count_documents instead. Please note that $where must be replaced by $expr, $near must be replaced by $geoWithin with $center, and $nearSphere must be replaced by $geoWithin with $centerSphere
  total = db['history'].count()
127.0.0.1 - - [05/Jul/2019 20:42:53] "GET /getQueryHistory?index=1&pageSize=15&type=0 HTTP/1.0" 200 -
127.0.0.1 - - [05/Jul/2019 20:42:56] "GET /ad HTTP/1.0" 200 -
127.0.0.1 - - [05/Jul/2019 20:42:56] "GET /static/upload/timg.jpeg HTTP/1.0" 200 -
app.py:82: DeprecationWarning: count is deprecated. Use estimated_document_count or count_documents instead. Please note that $where must be replaced by $expr, $near must be replaced by $geoWithin with $center, and $nearSphere must be replaced by $geoWithin with $centerSphere
  total = db['auth_code'].count()
127.0.0.1 - - [05/Jul/2019 20:42:56] "GET /codeList?index=1&pageSize=15 HTTP/1.0" 200 -
app.py:175: DeprecationWarning: count is deprecated. Use Collection.count_documents instead.
  data['todayCount'] = db['history'].find({'time': {'$gte': ctime}}).count()
app.py:176: DeprecationWarning: count is deprecated. Use estimated_document_count or count_documents instead. Please note that $where must be replaced by $expr, $near must be replaced by $geoWithin with $center, and $nearSphere must be replaced by $geoWithin with $centerSphere
  data['totalCount'] = db['history'].count()
127.0.0.1 - - [05/Jul/2019 20:42:57] "GET /getQueryCount HTTP/1.0" 200 -
127.0.0.1 - - [05/Jul/2019 20:48:49] "GET /getQueryCount HTTP/1.0" 200 -
127.0.0.1 - - [05/Jul/2019 21:08:41] "POST /addhhkadmin HTTP/1.0" 200 -
127.0.0.1 - - [05/Jul/2019 21:08:45] "POST /addhhkadmin HTTP/1.0" 200 -
127.0.0.1 - - [05/Jul/2019 21:08:50] "POST /addhhkadmin HTTP/1.0" 200 -
127.0.0.1 - - [05/Jul/2019 21:08:53] "POST /addhhkadmin HTTP/1.0" 200 -
